source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_score
"{'id': None, 'name': 'Pypi.org'}",,nifty-ls 1.1.0rc6,"A fast Lomb-Scargle periodogram. It's nifty, and uses a NUFFT.",https://pypi.org/project/nifty-ls/1.1.0rc6/,,2025-07-29 23:10:38+00:00,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",2025-07-29,-0.9999253492278513
"{'id': None, 'name': 'CNET'}",Ingrid Cruz,This History by Mail Subscription Is 15% Off Starting August 4,US History buffs can get unique replicas sent to their home each month for 15% off with our exclusive coupon code.,https://www.cnet.com/deals/this-history-by-mail-subscription-is-15-off-starting-august-4/,https://www.cnet.com/a/img/resize/679387c1e7e21ee493af15ed389c7e670ef6bff6/hub/2025/07/29/51e99fc9-fd25-4c39-8e57-55f561f276b9/untitled-design-2.png?auto=webp&fit=crop&height=675&width=1200,2025-07-29 18:37:00+00:00,"Summer is in full swing, but back-to-school prep is already happening. So, it's time for learners and educators to stock up on supplies and accessories. But what happens to folks who are beyond forma… [+1718 chars]",2025-07-29,-0.9929236124735326
"{'id': None, 'name': 'phillymag.com'}",Victor Fiorillo,Philadelphia Is Getting Yet Another New Local TV Face,Check phillymag.com each morning Monday through Thursday for the latest edition of Philly Today. And if you have a news tip for our hardworking Philly […],https://www.phillymag.com/news/2025/07/29/kelsey-kushner-nbc10-philadelphia/,https://cdn10.phillymag.com/wp-content/uploads/sites/3/2025/07/kelsey-kushner-nbc10-philadelphia-social.jpeg,2025-07-29 15:37:26+00:00,"Plus, the Italian Market says arrivederci to a true icon.
Kelsey Kushner, who is joining NBC10 in Philadelphia (photo via WJZ-TV 13 in Baltimore)
Check phillymag.com each morning Monday through Thu… [+3490 chars]",2025-07-29,-0.9999061868620629
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Riya Sharma,Ahead of Market: 10 things that will decide stock market action on Wednesday,"Indian markets rebounded on Tuesday, ending a three-day losing streak, driven by value buying in Reliance and HDFC Bank. Broader sentiment remained cautious due to FPI outflows and US trade deal uncertainty. Most sectors ended higher, led by metals and pharma.",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-wednesday/articleshow/122979681.cms,"https://img.etimg.com/thumb/msid-122979703,width-1200,height-630,imgsize-110642,overlay-etmarkets/articleshow.jpg",2025-07-29 15:32:34+00:00,"The Indian market ended in the green on Tuesday, snapping a three-day losing streak, as value buying in blue-chip names like Reliance Industries and HDFC Bank buoyed sentiment and tempered concerns o… [+5795 chars]",2025-07-29,-0.9999958269321496
"{'id': None, 'name': 'PC Gamer'}",Andrea Shearon,Where to find thistle needles in Grounded 2,Materials that'll get you out of a few thorny situations.,https://www.pcgamer.com/games/survival-crafting/grounded-2-thistle-needles-location/,https://cdn.mos.cms.futurecdn.net/CNph2mTPFgLv8uonqrs8ck.jpg,2025-07-29 14:51:37+00:00,"The thicket of flower petals, dandelion tufts, and grass seeds in Grounded 2 can be a pain to sift through, but fortunately, thistle needles aren't too hard to spot once you know what to look for. Th… [+1931 chars]",2025-07-29,-0.9971538570243865
"{'id': 'techradar', 'name': 'TechRadar'}","lance.ulanoff@futurenet.com (Lance Ulanoff) , Lance Ulanoff",Windows 10 is ten years old and it had some of the best and worst ideas ever,Windows 10 turns ten years old - too bad Microsoft's birthday present is a death sentence.,https://www.techradar.com/computing/windows/windows-10-is-ten-years-old-and-it-had-some-of-the-best-and-worst-ideas-ever,https://cdn.mos.cms.futurecdn.net/yBsirNxrnuBxshrCgrFwsQ.jpg,2025-07-29 14:42:21+00:00,"I'm writing this Windows 10 tribute on a MacBook Air, which tells you exactly how well my relationship with Windows is going. Even so, back in the day, Windows 10 was a broadly good iteration of Micr… [+6686 chars]",2025-07-29,0.0010478826243343065
"{'id': None, 'name': 'PCWorld'}",Laura Pippig,"I never leave home without Anker’s $30 ultra-compact, no-wires power bank","Everyone fears when the battery on your smartphone is running low and you wonder whether you’ll make it home in time. Especially when important items such as tickets, payments, or other things are connected to it to make sure you get home.




Power banks pr…",https://www.pcworld.com/article/2852929/i-never-leave-home-without-ankers-30-ultra-compact-no-wires-power-bank.html,https://www.pcworld.com/wp-content/uploads/2025/07/Anker-Nano-Mini-Powerbank.png?w=1024,2025-07-29 14:30:00+00:00,"Skip to contentWhen you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
Everyone fears when the battery on your smartphone i… [+2377 chars]",2025-07-29,-0.9996869833703386
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Shivendra Kumar,Jio Financial board to meet on Wednesday to consider fundraising proposal,"Jio Financial Services' board is scheduled to meet on Wednesday, July 30, to consider a fundraising proposal. The plan may involve the issuance of equity shares or warrants, through modes such as a rights issue, preferential allotment, or qualified institutio…",https://economictimes.indiatimes.com/markets/stocks/news/jio-financial-board-to-meet-on-wednesday-to-consider-fundraising-proposal/articleshow/122978858.cms,"https://img.etimg.com/thumb/msid-122978848,width-1200,height-630,imgsize-19826,overlay-etmarkets/articleshow.jpg",2025-07-29 14:29:18+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-0.9999542311616096
"{'id': None, 'name': 'PCWorld'}",Dave Parrack,11 dead-simple ChatGPT prompts that make everyday tasks easy,"If you’ve spent any amount of time using ChatGPT, you already know that it often requires lengthy explanations, prompt tweaks, and/or extra context to get it doing what you actually meant. Often, but not always.




ChatGPT is capable of performing useful ta…",https://www.pcworld.com/article/2848014/11-dead-simple-chatgpt-prompts-that-make-everyday-tasks-easy.html,https://www.pcworld.com/wp-content/uploads/2025/07/ChatGPT-logo-on-a-purple-digital-motion-blurred-background-4.jpg?quality=50&strip=all&w=1024,2025-07-29 14:02:56+00:00,"Dave Parrack / Foundry
Most of us endure busy working lives these days, which leaves little time for doing much of anything else—and that can include grocery shopping for the ingredients needed for … [+484 chars]",2025-07-29,-0.07288419076940045
"{'id': None, 'name': 'PlayStation LifeStyle'}",Zarmena Khan,"PS5, PS4 Trophy Hunters Got a New Free App and They Love It","There’s a nifty new companion app for PS5, PS4 trophies that trophy hunters might want to check out right now. Made by a fellow PlayStation player, PlatSeekers seems to be off to a great start with a positive response from users, and it comes with some pretty…",https://www.playstationlifestyle.net/2025/07/29/ps5-ps4-trophies-app-platseekers-free/,"https://www.playstationlifestyle.net/wp-content/uploads/sites/9/2025/02/ps5-ps4-platinum-trophies-unlocking-service.jpg?resize=1200,630",2025-07-29 13:59:42+00:00,"Theres a nifty new companion app for PS5, PS4 trophies that trophy hunters might want to check out right now. Made by a fellow PlayStation player, PlatSeekers seems to be off to a great start with a … [+1271 chars]",2025-07-29,-0.9986364140422666
"{'id': None, 'name': 'Pypi.org'}",your.email@example.com,quantplay-lab added to PyPI,High-performance backtesting engine for algorithmic trading with focus on Indian markets,https://pypi.org/project/quantplay-lab/,https://pypi.org/static/images/twitter.abaf4b19.webp,2025-07-29 13:39:33+00:00,"High-performance backtesting engine for algorithmic trading with focus on Indian markets (NSE, BSE, NFO, BFO).
Features
<ul><li>High Performance: Built on Polars for lightning-fast data processing<… [+4617 chars]",2025-07-29,-0.999783680861583
"{'id': None, 'name': 'First Showing'}",Alex Billington,"Miles Teller, Callum Turner, Elizabeth Olsen in Sweet 'Eternity' Trailer","""A lot has happened in a week! You died! I died! I've just been reunited with both of my dead husbands. And I have to pick where to spend eternity?!"" Yep, that sounds like quite the conundrum. A24 has unveiled the first official trailer for an afterlife roman…",https://www.firstshowing.net/2025/miles-teller-callum-turner-elizabeth-olsen-in-sweet-eternity-trailer/,https://media2.firstshowing.net/firstshowing/img17/Eternitya24filmMainOlsenpbigTW1.jpg,2025-07-29 13:23:14+00:00,"by Alex BillingtonJuly 29, 2025Source:YouTube
""A lot has happened in a week! You died! I died! I've just been reunited with both of my dead husbands. And I have to pick where to spend eternity?!"" Ye… [+1901 chars]",2025-07-29,-0.9999835448552403
"{'id': None, 'name': 'BusinessLine'}",Anupama Ghosh,Markets rebound after 3-day slump; Nifty forms bullish engulfing pattern,"Markets rebound after 3-day slide as Nifty forms bullish pattern. Sensex jumps 447 pts, midcaps outperform. Eyes on US Fed policy and trade deadline.",https://www.thehindubusinessline.com/markets/stock-markets/markets-rebound-after-3-day-slump-nifty-forms-bullish-engulfing-pattern/article69869388.ece,https://bl-i.thgim.com/public/incoming/lvuuot/article69868131.ece/alternates/LANDSCAPE_1200/IMG_PO16_Candle_2_2_1_GTE482N4.jpg,2025-07-29 13:04:09+00:00,"Markets staged a strong recovery on Tuesday, with benchmark indices snapping a three-day losing streak as the Nifty 50 gained 140.20 points or 0.57 per cent to close at 24,821.10, while the Sensex su… [+4448 chars]",2025-07-29,7.801021695286181e-08
"{'id': None, 'name': 'Brothers-brick.com'}",Bre Burns,LEGO Technic 42215 Volvo EC500 Hybrid Excavator – Worth its weight? [Review],"Join us as we unearth the play features and value of the new LEGO Technic 42215 Volvo EC500 Hybrid Excavator.
The post LEGO Technic 42215 Volvo EC500 Hybrid Excavator – Worth its weight? [Review] appeared first on The Brothers Brick.",https://www.brothers-brick.com/2025/07/29/lego-technic-42215-volvo-ec500-hybrid-excavator-worth-its-weight-review/,https://s3-us-west-2.amazonaws.com/media.brothers-brick.com/2025/07/LEGO-Technic-42215-Volvo-EC500-Hybrid-Excavator-TBB-Review-Social-Cover-scaled.jpg,2025-07-29 13:00:42+00:00,"For anyone fascinated with mechanisms and moving parts, watching heavy machinery work can be mesmerizing. The modern marvels of industry surely showcase some of the greatest advancements in human his… [+9680 chars]",2025-07-29,-0.9997054688865319
"{'id': None, 'name': 'TheWrap'}",Drew Taylor,A24’s ‘Eternity’ Trailer Has Elizabeth Olsen Choosing Between Miles Teller and Callum Turner in the Afterlife,"The romantic comedy will debut at Toronto International Film Festival before arriving in theaters later this fall
The post A24’s ‘Eternity’ Trailer Has Elizabeth Olsen Choosing Between Miles Teller and Callum Turner in the Afterlife appeared first on TheWrap.",https://www.thewrap.com/eternity-trailer-elizabeth-olsen-miles-teller-callum-turner-a24/,https://www.thewrap.com/wp-content/uploads/2025/07/Eternity.jpg,2025-07-29 13:00:00+00:00,"Ready to spend some time with Eternity?
A24s latest high-concept romantic comedy, which stars Elizabeth Olsen as a woman who, while in the afterlife, must choose between the man she spent her life w… [+1199 chars]",2025-07-29,-0.999998916815457
"{'id': None, 'name': 'Economictimes.com'}",ET Spotlight Special,"Breakout Stocks: How to trade Torrent Pharma, EID Parry & Syrma SGS Technology that hit fresh 52-week high?","Indian markets rebounded smartly on Tuesday with Sensex rising over 400 points and Nifty closing above 24,800. Gains were led by healthcare, energy, and realty stocks. Torrent Pharma and EID Parry were among breakout performers hitting fresh 52-week highs.",https://m.economictimes.com/markets/stocks/news/breakout-stocks-how-to-trade-torrent-pharma-eid-parry-amp-syrma-sgs-technology-that-hit-fresh-52-week-high/market-summary/slideshow/122977302.cms,"https://img.etimg.com/thumb/msid-122977302,width-1070,height-580,overlay-etmarkets/slideshow.jpg",2025-07-29 12:47:53+00:00,"The stock recently gave a breakout on the weekly chart above Rs 705.It is now expected to move up by around 18–20% in the medium term.
The RSI is already in the super bullish zone. The Rs 700–650 zo… [+188 chars]",2025-07-29,-0.9998270430041885
"{'id': None, 'name': 'Ndtvprofit.com'}",Nikita Prasad,"Coal India Q1 Results Preview: Net Profit Likely To Drop 24% YoY, Analysts See 'Value Trap'",Coal India Q1 Results Preview: D-Street brokerages and analysts have maintained a bearish view on the public sector undertaking (PSU) stock.,https://www.ndtvprofit.com/quarterly-earnings/coal-india-q1-results-preview-net-profit-seen-24-lower-analysts-see-value-trap,https://media.assettype.com/bloombergquint%2F2025-07-29%2Fp87mlxy5%2FCoal%20India%20website.jpg?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-29 12:11:46+00:00,"Coal India Q1 Results Preview: Coal India will announce its April-June quarter results for fiscal 2025-26 (Q1FY26) on Wednesday, July 30. The world's largest state-run coal producer is expected to re… [+751 chars]",2025-07-29,0.9995197742355231
"{'id': None, 'name': 'PetaPixel'}",Kate Garibaldi,Ulanzi’s New GlideGo Tripods Are Excellent for Photo and Video,"Ulanzi continues to innovate with its new JJ05 and JJ06 GlideGo Tripods. Designed to meet the diverse needs of content creators, these tripods combine portability, durability, and professional-grade features to cater to both photographers and videographers. W…",https://petapixel.com/2025/07/29/ulanzis-new-glidego-tripods-are-excellent-for-photo-and-video/,https://petapixel.com/assets/uploads/2025/07/ulanzi-tripod-showcase-july-2025-featured.jpg,2025-07-29 12:00:42+00:00,"Ulanzi continues to innovate with its new JJ05 and JJ06 GlideGo Tripods. Designed to meet the diverse needs of content creators, these tripods combine portability, durability, and professional-grade … [+9264 chars]",2025-07-29,1.4996945907341797e-09
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Shivendra Kumar,"Larsen & Toubro Q1 Results: Cons PAT jumps 30% YoY to Rs 3,617 crore, revenue rises 16%","Larsen & Toubro (L&T) on Tuesday reported a 30% growth in its Q1 consolidated net profit to Rs 3,617 crore. The company's revenue from operation stood at Rs 63,679 crore which was up 16% on a YoY basis.",https://economictimes.indiatimes.com/markets/stocks/earnings/larsen-toubro-q1-results-cons-pat-jumps-30-yoy-to-rs-3617-crore-revenue-rises-16/articleshow/122976218.cms,"https://img.etimg.com/thumb/msid-122976199,width-1200,height-630,imgsize-46270,overlay-etmarkets/articleshow.jpg",2025-07-29 11:57:10+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-8.583273931606072e-07
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,"NSE files for settlement with Sebi, awaits regulator's nod",India's National Stock Exchange said on Tuesday it is awaiting the markets regulator's approval for its settlement applications in cases linked to unfair trading access.,https://economictimes.indiatimes.com/markets/stocks/news/nse-files-for-settlement-with-sebi-awaits-regulators-nod/articleshow/122976056.cms,"https://img.etimg.com/thumb/msid-122976072,width-1200,height-630,imgsize-50998,overlay-etmarkets/articleshow.jpg",2025-07-29 11:48:34+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-0.9999569933897874
"{'id': 'fortune', 'name': 'Fortune'}",Jim Edwards,The markets are behaving as if Europe has pulled the wool over Trump’s eyes,"Investors are trading as if one of two conditions will turn out to be true: That the deal is composed of stuff that was going to happen anyway, or that the U.S. Supreme Court will rule Trump's deals are illegal.",https://fortune.com/2025/07/29/markets-europe-pulled-wool-over-trump-eyes/,"https://fortune.com/img-assets/wp-content/uploads/2025/07/GettyImages-977286710.jpg?resize=1200,600",2025-07-29 11:36:54+00:00,"European stocks are up 0.93% today, and the STOXX Europe 600 index is again approaching an all-time high. (By contrast, S&amp;P 500 futures are only up 0.28% this morning.) Given that the U.S. just s… [+4134 chars]",2025-07-29,-0.9956155221443623
"{'id': None, 'name': 'Economictimes.com'}","Nishtha+Awasthi, ETMarkets.com","Gainers & Losers: Apar Industries,PNC Infratech among 6 stocks that moved the market today","Indian equities rebounded as Sensex and Nifty rose, led by gains in blue-chip and strong Q1 results. Apar Industries, Welspun, Tata Chemicals rallied, while Zen Technologies hit lower circuit.",https://m.economictimes.com/markets/web-stories/gainers-amp-losers-apar-industriespnc-infratech-among-6-stocks-that-moved-the-market-today/slideshow/122975785.cms,"https://img.etimg.com/thumb/msid-122975829,width-900,height-1200,resizemode-6.cms",2025-07-29 11:36:47+00:00,"Indian equities ended a three-day losing streak on Tuesday, as benchmark indices rose on the back of value buying in blue-chip stocks such as Reliance Industries and HDFC Bank, helping ease worries o… [+286 chars]",2025-07-29,-0.9995512393506942
"{'id': 'techradar', 'name': 'TechRadar'}",Darren Allan,Microsoft makes a nifty tweak to the Windows 11 taskbar – but it's probably not the change you were hoping for,"If you're a member of the multiple monitor club, you're going to love this small but highly convenient tweak.",https://www.techradar.com/computing/windows/microsoft-makes-a-nifty-tweak-to-the-windows-11-taskbar-but-its-probably-not-the-change-you-were-hoping-for,https://cdn.mos.cms.futurecdn.net/hgR26nK8WngbF5WjyefewP.jpg,2025-07-29 11:23:19+00:00,<ul><li>Windows 11 has a useful change for multiple monitors in a new preview</li><li>You'll be able to access notifications and the calendar flyout on the secondary monitor</li><li>Previously that w… [+3283 chars],2025-07-29,-0.9978770662564784
"{'id': None, 'name': 'DroidGamers'}",Rachel Varnham,Prospecting Enchant Tier List,"This Prospecting Enchant Tier List ranks each enchant from best to worst, so you know which you should aim to get.",https://www.droidgamers.com/guides/prospecting-enchant-tier-list/,https://www.droidgamers.com/wp-content/uploads/2025/07/Prospecting-Enchant-Tier-List.jpg,2025-07-29 11:12:52+00:00,"Enchants give your Pans a unique buff or ability, but it can be tough to know which is the best. That’s where our Prospecting Enchant Tier List comes in. We’ve ranked each Enchant and explained what … [+1672 chars]",2025-07-29,-0.9999952472053337
"{'id': None, 'name': 'BusinessLine'}",PTI,Rupee falls 12 paise to close at 86.82 against US dollar,"The rupee depreciated 12 paise to close at 86.82 (provisional) against the US dollar on Tuesday, weighed down by a jump in the US dollar index and a surge in crude oil prices.",https://www.thehindubusinessline.com/markets/forex/rupee-falls-12-paise-to-close-at-8682-against-us-dollar/article69868968.ece,https://bl-i.thgim.com/public/incoming/koucx9/article69868991.ece/alternates/LANDSCAPE_1200/IMG_iStock-458845295_2_1_U8ATFHM1.jpg,2025-07-29 10:37:09+00:00,"The rupee depreciated 12 paise to close at 86.82 (provisional) against the US dollar on Tuesday, weighed down by a jump in the US dollar index and a surge in crude oil prices.
Forex traders said mon… [+2574 chars]",2025-07-29,-0.9999635930362274
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Riya Sharma,"Market Wrap: Indian stocks snap 3-day losing run; Sensex rises 447 points, Nifty reclaims 24,800","Indian equities snapped a three-day losing streak on Tuesday, with the benchmark indices climbing as value buying in blue-chip names like Reliance Industries and HDFC Bank buoyed sentiment.",https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-indian-stocks-snap-3-day-losing-run-sensex-rises-447-points-nifty-reclaims-24800/articleshow/122973852.cms,"https://img.etimg.com/thumb/msid-122973829,width-1200,height-630,imgsize-92166,overlay-etmarkets/articleshow.jpg",2025-07-29 10:16:42+00:00,"Indian equities snapped a three-day losing streak on Tuesday, with the benchmark indices climbing as value buying in blue-chip names like Reliance Industries and HDFC Bank buoyed sentiment and temper… [+423 chars]",2025-07-29,-0.8176333094597794
"{'id': 'fortune', 'name': 'Fortune'}",Diane Brady,BYD overtakes Tesla on Fortune’s Global 500 as once-dominant U.S. companies feel heat from foreign rivals,Also: All the news and watercooler chat from Fortune.,https://fortune.com/2025/07/29/byd-tesla-fortune-global-500/,"https://fortune.com/img-assets/wp-content/uploads/2025/06/GettyImages-2218468848-e1749421865968.jpg?resize=1200,600",2025-07-29 09:09:33+00:00,"Good morning.Fortune published its Global 500 list this morning, our annual ranking of the worlds largest companies. Combined, they generated $41.7 trillion in revenue last year, with $2.98 trillion … [+7037 chars]",2025-07-29,0.001887692546006292
